state,date,abs,rate
Johor,2000-01-01,12144,4.4
Johor,2001-01-01,12730,4.5
Johor,2002-01-01,13459,4.7
Johor,2003-01-01,13671,4.6
Johor,2004-01-01,13842,4.6
Johor,2005-01-01,14152,4.6
Johor,2006-01-01,14546,4.6
Johor,2007-01-01,15165,4.7
Johor,2008-01-01,15926,4.9
Johor,2009-01-01,15971,4.8
Johor,2010-01-01,16060,4.8
Johor,2011-01-01,16479,4.8
Johor,2012-01-01,17201,5.0
Johor,2013-01-01,17696,5.1
Johor,2014-01-01,17904,5.0
Johor,2015-01-01,18853,5.2
Johor,2016-01-01,19924,5.5
Johor,2017-01-01,20662,5.6
Johor,2018-01-01,21117,5.6
Johor,2019-01-01,21799,5.8
Johor,2020-01-01,20680,5.2
Johor,2021-01-01,27002,6.7
Johor,2022-01-01,25342,6.3
Johor,2023-01-01,24705,6.0
Kedah,2000-01-01,8982,5.4
Kedah,2001-01-01,9197,5.4
Kedah,2002-01-01,9925,5.7
Kedah,2003-01-01,10311,5.8
Kedah,2004-01-01,10095,5.6
Kedah,2005-01-01,10280,5.6
Kedah,2006-01-01,10698,5.8
Kedah,2007-01-01,10847,5.8
Kedah,2008-01-01,11071,5.8
Kedah,2009-01-01,11618,6.0
Kedah,2010-01-01,11674,6.0
Kedah,2011-01-01,11869,6.0
Kedah,2012-01-01,12268,6.1
Kedah,2013-01-01,12516,6.1
Kedah,2014-01-01,13017,6.3
Kedah,2015-01-01,13674,6.5
Kedah,2016-01-01,13771,6.5
Kedah,2017-01-01,14332,6.7
Kedah,2018-01-01,14552,6.7
Kedah,2019-01-01,14302,6.6
Kedah,2020-01-01,13674,6.4
Kedah,2021-01-01,18470,8.6
Kedah,2022-01-01,17637,8.2
Kedah,2023-01-01,16643,7.6
Kelantan,2000-01-01,7620,5.6
Kelantan,2001-01-01,7797,5.6
Kelantan,2002-01-01,8330,5.9
Kelantan,2003-01-01,8614,6.0
Kelantan,2004-01-01,8547,5.8
Kelantan,2005-01-01,8834,5.9
Kelantan,2006-01-01,8940,5.9
Kelantan,2007-01-01,9186,6.0
Kelantan,2008-01-01,9694,6.3
Kelantan,2009-01-01,10114,6.4
Kelantan,2010-01-01,9798,6.2
Kelantan,2011-01-01,10024,6.2
Kelantan,2012-01-01,9890,6.0
Kelantan,2013-01-01,10042,6.0
Kelantan,2014-01-01,10588,6.1
Kelantan,2015-01-01,10789,6.1
Kelantan,2016-01-01,10809,6.0
Kelantan,2017-01-01,11203,6.1
Kelantan,2018-01-01,11316,6.1
Kelantan,2019-01-01,11410,6.1
Kelantan,2020-01-01,10939,6.1
Kelantan,2021-01-01,13927,7.7
Kelantan,2022-01-01,13445,7.3
Kelantan,2023-01-01,11839,6.4
Melaka,2000-01-01,3725,5.8
Melaka,2001-01-01,3799,5.7
Melaka,2002-01-01,3966,5.8
Melaka,2003-01-01,3964,5.6
Melaka,2004-01-01,4070,5.7
Melaka,2005-01-01,4140,5.6
Melaka,2006-01-01,4146,5.5
Melaka,2007-01-01,4145,5.4
Melaka,2008-01-01,4381,5.5
Melaka,2009-01-01,4472,5.5
Melaka,2010-01-01,4481,5.4
Melaka,2011-01-01,4606,5.5
Melaka,2012-01-01,4575,5.4
Melaka,2013-01-01,4747,5.5
Melaka,2014-01-01,4728,5.4
Melaka,2015-01-01,4959,5.6
Melaka,2016-01-01,5186,5.8
Melaka,2017-01-01,5523,6.0
Melaka,2018-01-01,5407,5.9
Melaka,2019-01-01,5547,6.0
Melaka,2020-01-01,5452,5.5
Melaka,2021-01-01,7094,7.1
Melaka,2022-01-01,6635,6.6
Melaka,2023-01-01,6190,6.0
Negeri Sembilan,2000-01-01,4540,5.2
Negeri Sembilan,2001-01-01,4724,5.3
Negeri Sembilan,2002-01-01,5051,5.6
Negeri Sembilan,2003-01-01,5038,5.5
Negeri Sembilan,2004-01-01,5067,5.4
Negeri Sembilan,2005-01-01,5163,5.4
Negeri Sembilan,2006-01-01,5204,5.4
Negeri Sembilan,2007-01-01,5181,5.3
Negeri Sembilan,2008-01-01,5740,5.7
Negeri Sembilan,2009-01-01,5832,5.7
Negeri Sembilan,2010-01-01,5814,5.6
Negeri Sembilan,2011-01-01,5885,5.6
Negeri Sembilan,2012-01-01,5895,5.6
Negeri Sembilan,2013-01-01,6213,5.8
Negeri Sembilan,2014-01-01,6410,5.9
Negeri Sembilan,2015-01-01,6611,6.1
Negeri Sembilan,2016-01-01,6810,6.2
Negeri Sembilan,2017-01-01,7111,6.4
Negeri Sembilan,2018-01-01,7298,6.5
Negeri Sembilan,2019-01-01,7168,6.4
Negeri Sembilan,2020-01-01,7026,5.9
Negeri Sembilan,2021-01-01,9179,7.6
Negeri Sembilan,2022-01-01,8645,7.2
Negeri Sembilan,2023-01-01,8232,6.7
Pahang,2000-01-01,5507,4.2
Pahang,2001-01-01,5741,4.4
Pahang,2002-01-01,6297,4.7
Pahang,2003-01-01,6291,4.6
Pahang,2004-01-01,6275,4.5
Pahang,2005-01-01,6499,4.6
Pahang,2006-01-01,6670,4.7
Pahang,2007-01-01,6742,4.7
Pahang,2008-01-01,7100,4.9
